portfel,sklad,n_symulacji,czas_s,sredni_zwrot,odch_std,VaR_90,VaR_95,VaR_99
Zdywersyfikowany,"PKO.WA, PKN.WA, KGH.WA, PZU.WA, ALE.WA, CDR.WA, DNP.WA, LPP.WA, PEO.WA, MBK.WA",40000,8.11,1785.65,7146.12,7371.53,9996.49,14930.07
Bankowy,"PKO.WA, PEO.WA, MBK.WA, SPL.WA, ING.WA",40000,6.84,3979.45,9555.13,8270.64,11780.52,18293.33
Surowcowy,"KGH.WA, PKN.WA, JSW.WA",40000,6.74,-2083.03,9465.88,14302.05,17637.98,24325.63
Technologiczny,"CDR.WA, ALE.WA, XTB.WA",40000,6.53,2805.17,8629.6,8224.58,11301.53,17291.44
