portfel,sklad,n_symulacji,czas_s,sredni_zwrot,odch_std,VaR_90,VaR_95,VaR_99
Zdywersyfikowany,"PKO.WA, PKN.WA, KGH.WA, PZU.WA, ALE.WA, CDR.WA, DNP.WA, LPP.WA, PEO.WA, MBK.WA",40000,3.33,1785.65,7146.5,7377.42,9986.37,14888.51
Bankowy,"PKO.WA, PEO.WA, MBK.WA, SPL.WA, ING.WA",40000,2.12,3979.45,9555.28,8262.54,11790.58,18300.04
Surowcowy,"KGH.WA, PKN.WA, JSW.WA",40000,2.08,-2083.03,9466.2,14296.95,17624.36,24309.98
Technologiczny,"CDR.WA, ALE.WA, XTB.WA",40000,2.08,2805.17,8630.21,8234.52,11308.96,17338.85
