Date,PKN.WA,PKO.WA,KGH.WA,PZU.WA,ALE.WA,CDR.WA,DNP.WA,LPP.WA,PEO.WA,MBK.WA,CPS.WA,JSW.WA,KTY.WA,OPL.WA,SPL.WA,TPE.WA,BDX.WA,XTB.WA,ENA.WA,ING.WA
2023-01-02,51.532344818115234,26.146081924438477,124.08500671386719,27.379619598388672,25.440000534057617,126.9491195678711,36.91999816894531,9303.0947265625,66.76869201660156,297.3999938964844,17.799999237060547,57.97999954223633,378.57806396484375,5.681997776031494,189.02059936523438,2.134999990463257,235.47987365722656,23.957204818725586,5.979014873504639,129.408447265625
2023-01-03,52.0109748840332,27.433090209960938,126.85540771484375,27.561569213867188,26.665000915527344,126.61540985107422,35.939998626708984,9663.611328125,70.1488037109375,322.20001220703125,17.700000762939453,55.0,386.9554748535156,5.654908180236816,198.323974609375,2.1619999408721924,242.08981323242188,23.713058471679688,6.1253204345703125,134.45237731933594
2023-01-04,52.457698822021484,28.219112396240234,128.79954528808594,28.360570907592773,27.0,125.14312744140625,36.0,9637.232421875,72.13983154296875,334.0,18.040000915527344,57.5,381.76947021484375,5.72263240814209,208.80868530273438,2.2060000896453857,242.08981323242188,24.30817222595215,6.027782917022705,139.49632263183594
2023-01-05,49.82523727416992,28.66826820373535,132.68785095214844,28.281461715698242,26.649999618530273,130.10958862304688,35.279998779296875,9839.4736328125,72.91153717041016,336.3999938964844,18.540000915527344,56.52000045776367,382.96624755859375,5.822524070739746,211.90980529785156,2.2170000076293945,233.41427612304688,24.384469985961914,6.057044506072998,140.59967041015625
2023-01-09,49.458290100097656,29.739336013793945,143.96389770507812,28.953886032104492,28.65999984741211,131.26780700683594,36.529998779296875,10314.3017578125,75.98295593261719,345.0,19.09000015258789,58.08000183105469,379.7748718261719,5.9681291580200195,218.4073944091797,2.174999952316284,238.37173461914062,25.086400985717773,5.852216720581055,143.90975952148438
2023-01-10,49.458290100097656,30.231678009033203,146.6370849609375,29.207035064697266,28.90999984741211,135.6060791015625,36.5,11017.748046875,77.01705169677734,356.0,19.06999969482422,58.47999954223633,393.3382568359375,5.993525505065918,220.6224822998047,2.1429998874664307,235.06675720214844,25.6052188873291,5.6815266609191895,142.64877319335938
2023-01-11,49.458290100097656,29.756607055664062,146.345458984375,29.112104415893555,29.075000762939453,133.2504425048828,36.52000045776367,10059.2998046875,76.36881256103516,339.79998779296875,19.239999771118164,59.459999084472656,378.57806396484375,5.873316287994385,216.33999633789062,2.180000066757202,234.65362548828125,25.20847511291504,5.852216720581055,141.07254028320312
2023-01-12,50.35173034667969,30.732662200927734,146.88009643554688,28.890600204467773,30.975000381469727,127.53803253173828,36.61000061035156,9452.5771484375,78.21321105957031,344.3999938964844,19.100000381469727,58.400001525878906,376.5834655761719,5.883475303649902,220.7701416015625,2.253000020980835,237.9586181640625,25.223735809326172,6.105813026428223,143.4368896484375
2023-01-13,49.857147216796875,30.508081436157227,149.5046844482422,28.669097900390625,31.354999542236328,129.69735717773438,36.349998474121094,9267.921875,77.94310760498047,343.6000061035156,18.790000915527344,57.900001525878906,378.57806396484375,5.8326826095581055,219.73646545410156,2.2290000915527344,239.61109924316406,25.223735809326172,6.154581069946289,141.07254028320312
2023-01-16,50.49531936645508,30.93996238708496,146.10244750976562,28.645360946655273,31.700000762939453,126.43875122070312,36.86000061035156,9452.5771484375,78.56048583984375,350.6000061035156,18.649999618530273,56.08000183105469,378.1791687011719,5.9291887283325195,223.4282684326172,2.194999933242798,240.43734741210938,25.025362014770508,6.047290325164795,141.70303344726562
2023-01-17,49.82523727416992,29.920724868774414,144.69293212890625,28.3526611328125,31.5,127.00801086425781,36.29999923706055,9276.71484375,75.45819091796875,335.20001220703125,18.850000381469727,56.380001068115234,386.5565490722656,5.905484676361084,216.7830047607422,2.1989998817443848,235.89300537109375,25.010101318359375,6.135073661804199,137.13198852539062
2023-01-18,50.942039489746094,29.480205535888672,148.38681030273438,28.20235252380371,32.224998474121094,130.8162841796875,36.189998626708984,9320.681640625,74.00736999511719,332.79998779296875,18.850000381469727,58.099998474121094,383.76409912109375,5.8326826095581055,214.86328125,2.2139999866485596,233.827392578125,24.949066162109375,6.23748779296875,135.24049377441406
